Year,Name,Graduates_Male,Graduates_Female,Employed_Male,Employed_Female,Overseas_Employment_Male,Overseas_Employment_Female,Agriculture_Fishery_Male,Agriculture_Fishery_Female,Creative_Activities_Male,Creative_Activities_Female,Entrepreneurship_Male,Entrepreneurship_Female,Freelancer_Male,Freelancer_Female,Uncounted_Male,Uncounted_Female,Others_Male,Others_Female,Employment_Rate,Pre_Employment_Male,Pre_Employment_Female,Campus_Employment_Male,Campus_Employment_Female
2021,한국기술교육대학교,635,228,451,130,2,0,0,0,0,0,3,1,13,9,57,18,109,70,77.3,64,16,9,10
2021,한국성서대학교,90,166,43,120,0,0,0,0,0,0,1,2,7,6,14,13,25,25,78.2,2,2,0,1
2021,한국예술종합학교,186,327,33,108,0,1,0,0,1,2,14,18,37,58,39,35,62,105,62,1,1,0,1
2021,한국외국어대학교,"1,578","2,179",844,"1,050",5,8,0,0,3,0,21,15,60,101,175,287,470,718,63.9,29,20,2,3
2021,한국전통문화대학교,44,82,19,36,0,0,0,0,0,0,1,0,1,3,10,17,13,26,60.6,0,0,6,3
2021,한국체육대학교,372,239,202,114,0,0,0,0,0,0,9,2,32,37,49,15,80,71,72.4,3,1,0,0
2021,한국침례신학대학교,132,197,23,74,0,0,0,0,0,0,1,4,2,5,88,62,18,52,60.9,0,2,0,1
2021,한국항공대학교,652,203,363,104,0,0,0,0,0,0,3,0,19,4,97,23,170,72,67.1,7,1,0,0
2021,한남대학교,"1,082","1,308",623,647,2,4,0,0,2,14,10,8,27,51,99,112,319,472,63.7,7,10,17,42
2021,한동대학교,389,432,197,190,1,1,0,0,0,0,3,4,11,14,84,69,93,154,63,0,0,1,3
2021,한라대학교,573,231,341,119,1,0,0,0,0,0,4,1,22,12,18,5,187,94,64,14,9,7,7
2021,한려대학교,51,59,27,40,0,0,0,0,0,0,0,0,0,1,9,0,15,18,67.3,5,8,0,0
2021,한림대학교,844,897,447,402,0,0,0,0,0,0,9,9,27,54,102,123,259,309,62.5,6,2,13,10
2021,한서대학교,762,608,437,324,0,0,0,0,0,0,12,2,36,36,59,58,218,188,67.6,7,4,12,5
2021,한성대학교,778,669,458,370,0,4,0,0,1,3,11,7,32,46,43,33,233,206,68,27,20,25,21
2021,한세대학교,189,356,98,184,0,0,0,0,2,11,5,4,11,25,36,33,37,99,71.4,6,3,4,9
